Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,READM-30-AMI-HRRP,READM-30-COPD-HRRP,READM-30-HF-HRRP,READM-30-HIP-KNEE-HRRP,READM-30-PN-HRRP,Central line-associated blood stream infections (CLABSI),Catheter-Associated Urinary Tract Infections (CAUTI),Surgical Site Infection from colon surgery (SSI: Colon),Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),Payment for heart attack patients,SCIP-Inf-1_Achievement Points,SCIP-Inf-2_Achievement Points,SCIP-Inf-3_Achievement Points,SCIP-Inf-4_Achievement Points,SCIP-Inf-9_Achievement Points,Communication with Nurses Achievement Points,Communication with Doctors Achievement Points,Responsiveness of Hospital Staff Achievement Points,Pain Management Achievement Points,Communication about Medicines Achievement Points,Cleanliness and Quietness of Hospital Environment Achievement Points,Discharge Information Achievement Points,Overall Rating of Hospital Achievement Points,HF-1 Achievement Points,MORT-30-AMI Achievement Points,MORT-30-HF Achievement Points,MORT-30-PN Performance Rate,PN-3b Achievement Points,PN-6 Achievement Points,SCIP-Card-2 Achievement Points,SCIP-VTE-2 Achievement Points,Weighted Clinical Process of Care Domain Score,Weighted Patient Experience of Care Domain Score,Weighted Outcome Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Home Health Agency,Hospice,Inpatient,Outpatient,Skilled Nursing Facility,Durable Medical Equipment,Carrier,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Median
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,21.8,16.4,20.4,5.6,15.1,Not Available,Not Available,0.894,Not Available,Not Available,0.569,19564,1 out of 10,0 out of 10,0 out of 10,Not Available,4 out of 10,1 out of 10,4 out of 10,2 out of 10,0 out of 10,0 out of 10,6 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,3 out of 10,0.89589,0 out of 10,0 out of 10,0 out of 10,2 out of 10,3.7777777778,8.7,10,14,36.4777777778,$615 ,$95 ,"$1,482 ",$495 ,"$3,465 ",$158 ,$549 ,0.89,"35,872"
40018,SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,Not Available,23.2,23.1,4.2,17.5,Not Available,Not Available,Not Available,Not Available,Not Available,1.331,Not Available,10 out of 10,10 out of 10,10 out of 10,Not Available,0 out of 10,4 out of 10,1 out of 10,3 out of 10,2 out of 10,5 out of 10,5 out of 10,4 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,0.86679,10 out of 10,10 out of 10,Not Available,0 out of 10,21.4285714286,18.8571428571,Not Available,0,40.2857142857,$854 ,$166 ,"$4,174 ",$270 ,"$3,099 ",$72 ,$767 ,1.12,"39,775"
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,SAINT FRANCIS,Not Available,15.5,23.1,Not Available,14.5,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,10 out of 10,10 out of 10,10 out of 10,Not Available,Not Available,3 out of 10,5 out of 10,2 out of 10,5 out of 10,1 out of 10,4 out of 10,0 out of 10,0 out of 10,7 out of 10,Not Available,Not Available,0.84214,3 out of 10,10 out of 10,Not Available,0 out of 10,14.5714285714,12.3,12,10,48.8714285714,$668 ,$213 ,"$2,804 ",$248 ,"$1,355 ",$106 ,$730 ,0.94,"28,074"
40020,ST BERNARDS MEDICAL CENTER,225 E JACKSON,JONESBORO,AR,72401,CRAIGHEAD,16.7,18.4,19.5,5.6,15.7,1.102,2.896,0.767,Not Available,3.913,0.311,22325,0 out of 10,3 out of 10,5 out of 10,6 out of 10,5 out of 10,6 out of 10,5 out of 10,2 out of 10,4 out of 10,6 out of 10,5 out of 10,2 out of 10,5 out of 10,0 out of 10,4 out of 10,0 out of 10,0.88643,10 out of 10,4 out of 10,1 out of 10,0 out of 10,8.9090909091,17.1,4.2,2,32.2090909091,$535 ,$95 ,"$3,584 ",$707 ,"$1,829 ",$181 ,$796 ,0.97,"36,445"
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,WASHINGTON,18.6,20.1,21.9,5.6,17.1,0.861,0.353,0.574,Not Available,1.299,0.324,22182,6 out of 10,2 out of 10,2 out of 10,9 out of 10,7 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,2 out of 10,3 out of 10,0 out of 10,0 out of 10,5 out of 10,0 out of 10,0.88399,4 out of 10,1 out of 10,3 out of 10,3 out of 10,8.9090909091,5.7,10.8,4,29.4090909091,$724 ,$150 ,"$2,873 ",$545 ,"$2,358 ",$120 ,$955 ,1.00,"43,667"
40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,71903,GARLAND,14.2,18.2,20.1,4.9,16,0.361,1.457,0.275,1.899,1.508,0.947,19848,1 out of 10,5 out of 10,7 out of 10,0 out of 10,7 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,2 out of 10,3 out of 10,2 out of 10,0 out of 10,0 out of 10,0.8459,10 out of 10,10 out of 10,7 out of 10,7 out of 10,14.1818181818,7.8,6.6,2,30.5818181818,$740 ,$173 ,"$2,802 ",$412 ,"$2,777 ",$110 ,$933 ,0.98,N/A
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,BAXTER,16.7,18.2,20.9,5.3,18.5,0.000,1.080,0.501,Not Available,0.566,1.022,24412,4 out of 10,4 out of 10,0 out of 10,5 out of 10,1 out of 10,2 out of 10,1 out of 10,5 out of 10,5 out of 10,2 out of 10,2 out of 10,7 out of 10,5 out of 10,10 out of 10,8 out of 10,0 out of 10,0.85942,0 out of 10,7 out of 10,6 out of 10,0 out of 10,10.1818181818,17.4,16.8,6,50.3818181818,$824 ,$117 ,"$2,765 ",$475 ,"$2,465 ",$91 ,$706 ,0.94,"36,192"
40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,12.7,19.8,19.2,5.2,15.5,0.000,0.875,0.000,Not Available,1.466,1.042,19473,0 out of 10,0 out of 10,0 out of 10,7 out of 10,4 out of 10,6 out of 10,4 out of 10,3 out of 10,2 out of 10,3 out of 10,5 out of 10,0 out of 10,3 out of 10,4 out of 10,1 out of 10,0 out of 10,0.86398,8 out of 10,0 out of 10,4 out of 10,6 out of 10,8.5454545455,13.5,14.4,0,36.4454545455,$647 ,$84 ,"$2,810 ",$504 ,"$3,414 ",$105 ,$835 ,1.02,"47,433"
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,PULASKI,15.5,18.7,26.9,5.4,18.4,2.245,1.141,0.585,0.000,1.843,0.819,21161,4 out of 10,8 out of 10,9 out of 10,5 out of 10,10 out of 10,3 out of 10,3 out of 10,3 out of 10,3 out of 10,3 out of 10,3 out of 10,2 out of 10,4 out of 10,10 out of 10,0 out of 10,5 out of 10,0.87204,10 out of 10,7 out of 10,6 out of 10,9 out of 10,16,13.5,7.2,0,36.7,$633 ,$145 ,"$3,991 ",$529 ,"$1,989 ",$101 ,"$1,007 ",1.01,"34,044"
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,GREENE,19.3,18.4,23.5,5.6,16.9,Not Available,0.000,Not Available,Not Available,Not Available,1.340,20043,10 out of 10,0 out of 10,10 out of 10,Not Available,10 out of 10,5 out of 10,4 out of 10,4 out of 10,4 out of 10,6 out of 10,6 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,0 out of 10,0.87317,7 out of 10,6 out of 10,0 out of 10,10 out of 10,12.2222222222,13.8,1.5,4,31.5222222222,$484 ,$77 ,"$3,938 ",$476 ,"$2,497 ",$127 ,$696 ,1.03,"38,922"
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,POPE,17.7,19.5,21.3,4.9,13.7,Not Available,0.000,1.102,Not Available,0.873,0.443,20933,0 out of 10,3 out of 10,8 out of 10,Not Available,3 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,4 out of 10,0.86395,4 out of 10,0 out of 10,5 out of 10,7 out of 10,6,3.9,6,2,17.9,$316 ,$87 ,"$3,363 ",$546 ,"$2,611 ",$88 ,$779 ,0.98,"34,558"
40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,72301,CRITTENDEN,Not Available,21.5,22,Not Available,20.2,0.000,0.758,0.000,Not Available,Not Available,0.612,22960,0 out of 10,0 out of 10,0 out of 10,Not Available,0 out of 10,3 out of 10,5 out of 10,3 out of 10,4 out of 10,3 out of 10,3 out of 10,0 out of 10,0 out of 10,10 out of 10,Not Available,2 out of 10,0.85535,6 out of 10,0 out of 10,0 out of 10,0 out of 10,9.3333333333,15,12,0,36.3333333333,$567 ,$103 ,"$3,676 ",$887 ,"$2,598 ",$106 ,"$1,339 ",1.01,"32,412"
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,Not Available,17.2,22.3,Not Available,16.9,Not Available,Not Available,Not Available,Not Available,Not Available,0.421,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1 out of 10,1 out of 10,4 out of 10,6 out of 10,0 out of 10,3 out of 10,1 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,0.89377,10 out of 10,0 out of 10,Not Available,Not Available,Not Available,12.375,20.625,5,38,$767 ,$88 ,"$1,841 ",$394 ,"$4,705 ",$72 ,$762 ,1.02,"32,976"
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,Not Available,16.7,19.4,Not Available,14.1,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,0 out of 10,10 out of 10,0 out of 10,Not Available,10 out of 10,8 out of 10,10 out of 10,9 out of 10,6 out of 10,7 out of 10,7 out of 10,2 out of 10,1 out of 10,0 out of 10,Not Available,0 out of 10,0.87309,0 out of 10,10 out of 10,Not Available,0 out of 10,8.5,21,9,10,48.5,$455 ,$121 ,"$1,239 ",$521 ,"$3,993 ",$93 ,$497 ,0.94,"31,202"
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,Not Available,20.1,23.3,Not Available,16.4,Not Available,Not Available,Not Available,Not Available,Not Available,1.604,Not Available,0 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,0 out of 10,10 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.87407,0 out of 10,0 out of 10,Not Available,10 out of 10,5.7142857143,12.3,12,0,30.0142857143,$577 ,$321 ,"$2,014 ",$521 ,"$3,270 ",$132 ,$874 ,1.06,"32,635"
40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,72902,SEBASTIAN,18.5,21.3,24.3,4.5,15.2,0.578,0.599,1.481,Not Available,1.507,0.643,22358,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,7 out of 10,4 out of 10,3 out of 10,0.89041,10 out of 10,10 out of 10,10 out of 10,10 out of 10,19.6363636364,2.7,16.2,0,38.5363636364,$798 ,$137 ,"$4,826 ",$681 ,"$2,337 ",$108 ,$839 ,1.07,N/A
40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,72917,SEBASTIAN,13.2,17.5,22.2,4.4,13.8,0.629,2.027,0.878,Not Available,0.703,0.313,20764,5 out of 10,5 out of 10,0 out of 10,10 out of 10,6 out of 10,1 out of 10,3 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,6 out of 10,3 out of 10,2 out of 10,0 out of 10,0 out of 10,0.85863,5 out of 10,0 out of 10,4 out of 10,5 out of 10,11.4545454545,10.5,8.4,0,30.3545454545,$944 ,$161 ,"$4,032 ",$524 ,"$2,675 ",$114 ,$827 ,1.04,N/A
40067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,MAGNOLIA,AR,71754,COLUMBIA,Not Available,19.4,22,Not Available,13.9,Not Available,Not Available,Not Available,Not Available,Not Available,0.456,Not Available,0 out of 10,10 out of 10,10 out of 10,Not Available,Not Available,7 out of 10,6 out of 10,4 out of 10,2 out of 10,5 out of 10,5 out of 10,8 out of 10,3 out of 10,0 out of 10,Not Available,2 out of 10,0.84455,0 out of 10,0 out of 10,Not Available,0 out of 10,8.5714285714,18,14,0,40.5714285714,$560 ,$188 ,"$2,736 ",$290 ,"$3,990 ",$161 ,$902 ,1.05,N/A
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,Not Available,21,20.9,Not Available,18.7,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,10 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,0 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,0 out of 10,0.90143,2 out of 10,0 out of 10,Not Available,10 out of 10,12.5714285714,5.4,17,8,42.9714285714,$355 ,$116 ,"$2,555 ",$316 ,"$2,831 ",$105 ,"$1,004 ",0.95,"34,568"
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,15.4,21.3,22.6,5.6,16.8,0.188,0.249,0.345,0.925,0.361,0.841,20839,8 out of 10,0 out of 10,8 out of 10,10 out of 10,10 out of 10,0 out of 10,2 out of 10,3 out of 10,0 out of 10,2 out of 10,0 out of 10,5 out of 10,0 out of 10,5 out of 10,6 out of 10,0 out of 10,0.88621,10 out of 10,1 out of 10,8 out of 10,8 out of 10,14.3636363636,9.3,13.8,0,37.4636363636,$644 ,$156 ,"$3,906 ",$789 ,"$2,847 ",$136 ,$957 ,1.02,"40,690"
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,STUTTGART,AR,72160,ARKANSAS,Not Available,22.4,24.2,Not Available,15.5,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,0 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,3 out of 10,9 out of 10,4 out of 10,2 out of 10,6 out of 10,2 out of 10,0 out of 10,0 out of 10,7 out of 10,Not Available,0 out of 10,0.9045,0 out of 10,0 out of 10,Not Available,10 out of 10,8.2857142857,12.6,18,14,52.8857142857,$518 ,$90 ,"$2,617 ",$497 ,"$2,318 ",$90 ,$540 ,0.89,"36,038"
40074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,72076,PULASKI,Not Available,19.2,27,Not Available,17.8,Not Available,0.817,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,1 out of 10,1 out of 10,0 out of 10,1 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.8633,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,9.75,15,0,24.75,$405 ,$91 ,"$7,550 ",$327 ,"$3,122 ",$84 ,"$1,177 ",1.22,"43,471"
40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,HOT SPRING,Not Available,20,23.7,Not Available,16.8,Not Available,Not Available,Not Available,Not Available,Not Available,0.965,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3 out of 10,9 out of 10,2 out of 10,0 out of 10,2 out of 10,6 out of 10,0 out of 10,1 out of 10,0 out of 10,Not Available,0 out of 10,0.88487,5 out of 10,7 out of 10,Not Available,0 out of 10,8,12.3,9,10,39.3,$594 ,$83 ,"$1,493 ",$271 ,"$2,834 ",$120 ,$657 ,0.91,"37,364"
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,15.7,18.5,25.7,7.2,19.2,1.662,1.728,2.108,Not Available,0.673,1.343,20969,7 out of 10,7 out of 10,7 out of 10,10 out of 10,5 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,0 out of 10,2 out of 10,2 out of 10,3 out of 10,5 out of 10,Not Available,0 out of 10,0.84476,1 out of 10,0 out of 10,7 out of 10,4 out of 10,13.0909090909,7.8,7.5,0,28.3909090909,$634 ,$88 ,"$3,887 ",$682 ,"$2,030 ",$110 ,"$1,076 ",1.03,"35,511"
40080,HARRIS HOSPITAL,1205 MCLAIN STREET,NEWPORT,AR,72112,JACKSON,Not Available,21.9,25.6,Not Available,19.2,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,10 out of 10,10 out of 10,0 out of 10,Not Available,Not Available,1 out of 10,2 out of 10,3 out of 10,0 out of 10,5 out of 10,2 out of 10,1 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.89081,0 out of 10,0 out of 10,Not Available,10 out of 10,8.5714285714,9.6,13.5,2,33.6714285714,$413 ,$114 ,"$1,896 ",$406 ,"$3,510 ",$83 ,$788 ,0.99,"28,335"
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,17.2,19.9,22,5.7,16.3,0.545,1.045,0.926,Not Available,1.296,0.324,20812,0 out of 10,0 out of 10,5 out of 10,Not Available,10 out of 10,1 out of 10,0 out of 10,1 out of 10,0 out of 10,5 out of 10,1 out of 10,1 out of 10,0 out of 10,0 out of 10,10 out of 10,0 out of 10,0.88329,0 out of 10,6 out of 10,10 out of 10,0 out of 10,10.4,9.3,13.8,6,39.5,$639 ,$244 ,"$2,709 ",$485 ,"$2,632 ",$85 ,$766 ,0.93,"45,173"
40085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING DRIVE,HELENA,AR,72342,PHILLIPS,Not Available,18.7,22.7,Not Available,16.1,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1 out of 10,6 out of 10,0 out of 10,1 out of 10,0 out of 10,4 out of 10,0 out of 10,0 out of 10,10 out of 10,Not Available,0 out of 10,0.89006,10 out of 10,10 out of 10,Not Available,10 out of 10,20,9.9,12,20,61.9,$642 ,$91 ,"$2,210 ",$506 ,$708 ,$85 ,$721 ,0.83,"29,397"
40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71731,UNION,14.6,18.5,21.8,5,14,0.638,0.207,2.424,Not Available,Not Available,0.249,24216,10 out of 10,10 out of 10,8 out of 10,1 out of 10,3 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,10 out of 10,9 out of 10,6 out of 10,0.88458,10 out of 10,6 out of 10,5 out of 10,8 out of 10,15.2727272727,6,18,0,39.2727272727,$570 ,$82 ,"$3,176 ",$675 ,"$3,520 ",$82 ,$900 ,1.07,N/A
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,PULASKI,13.8,20.9,21.3,6.3,16.9,0.422,1.527,0.886,1.398,1.256,0.855,20379,7 out of 10,0 out of 10,6 out of 10,6 out of 10,5 out of 10,4 out of 10,2 out of 10,1 out of 10,3 out of 10,1 out of 10,4 out of 10,0 out of 10,5 out of 10,10 out of 10,5 out of 10,2 out of 10,0.87275,5 out of 10,10 out of 10,4 out of 10,1 out of 10,14.9090909091,12.3,9,2,38.2090909091,$666 ,$120 ,"$3,043 ",$509 ,"$1,996 ",$164 ,"$1,105 ",0.98,"46,389"
40118,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,13.7,20.4,22.2,5.4,15.5,1.323,0.664,0.479,Not Available,1.553,1.278,19898,0 out of 10,0 out of 10,4 out of 10,10 out of 10,7 out of 10,9 out of 10,7 out of 10,7 out of 10,6 out of 10,9 out of 10,4 out of 10,6 out of 10,8 out of 10,10 out of 10,0 out of 10,0 out of 10,0.88601,6 out of 10,4 out of 10,0 out of 10,0 out of 10,13.2727272727,22.8,7.2,2,45.2727272727,$576 ,$80 ,"$3,689 ",$501 ,"$1,718 ",$136 ,$917 ,0.98,"36,445"
40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,INDEPENDENCE,18.1,21.1,23.8,6.8,18.4,1.012,1.579,0.716,2.899,0.603,0.603,20959,10 out of 10,1 out of 10,0 out of 10,Not Available,6 out of 10,5 out of 10,3 out of 10,6 out of 10,4 out of 10,4 out of 10,5 out of 10,5 out of 10,3 out of 10,8 out of 10,0 out of 10,0 out of 10,0.86691,5 out of 10,2 out of 10,5 out of 10,0 out of 10,10.4,18.3,6,0,34.7,$922 ,$61 ,"$2,486 ",$643 ,"$2,611 ",$133 ,$759 ,0.98,N/A
40132,LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVE,HOT SPRINGS,AR,71901,GARLAND,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"35,511"
40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,14.6,19.9,21,Not Available,17,0.386,0.958,Not Available,Not Available,Not Available,0.283,22901,10 out of 10,8 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,7 out of 10,10 out of 10,9 out of 10,9 out of 10,10 out of 10,3 out of 10,10 out of 10,10 out of 10,10 out of 10,0 out of 10,0.87458,10 out of 10,10 out of 10,10 out of 10,10 out of 10,19.6363636364,26.4,13.2,10,69.2363636364,$290 ,$35 ,"$1,980 ",$583 ,$592 ,$96 ,$623 ,0.90,"58,749"
40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,Not Available,19.5,24.1,Not Available,15.4,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,0 out of 10,10 out of 10,3 out of 10,Not Available,0 out of 10,3 out of 10,7 out of 10,6 out of 10,4 out of 10,3 out of 10,6 out of 10,3 out of 10,5 out of 10,1 out of 10,Not Available,3 out of 10,0.89042,0 out of 10,0 out of 10,0 out of 10,0 out of 10,6.6666666667,18.3,17,0,41.9666666667,$637 ,$208 ,"$5,896 ",$310 ,"$1,861 ",$84 ,$971 ,1.17,"57,785"
40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,PULASKI,Not Available,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,3 out of 10,7 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,9 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,8 out of 10,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7 out of 10,7 out of 10,20.9523809524,41.5714285714,Not Available,14.2857142857,76.8095238095,$727 ,$0 ,"$1,546 ",$296 ,"$1,041 ",$146 ,$541 ,0.90,"34,918"
40152,PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,WASHINGTON,Not Available,Not Available,Not Available,5.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,1 out of 10,0 out of 10,Not Available,Not Available,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,Not Available,Not Available,Not Available,0.88818,Not Available,Not Available,0 out of 10,0 out of 10,8,42.8571428571,Not Available,0,50.8571428571,$374 ,$0 ,"$1,529 ",$269 ,"$2,020 ",$264 ,$699 ,0.99,"45,857"
40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR,71801,HEMPSTEAD,Not Available,21.2,21.8,Not Available,18.5,Not Available,Not Available,Not Available,Not Available,Not Available,0.346,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 out of 10,9 out of 10,5 out of 10,4 out of 10,6 out of 10,2 out of 10,4 out of 10,0 out of 10,3 out of 10,Not Available,4 out of 10,0.90155,2 out of 10,0 out of 10,Not Available,Not Available,Not Available,19.875,23.75,12.5,56.125,$293 ,$205 ,"$2,674 ",$198 ,"$4,024 ",$73 ,$752 ,0.91,"33,785"
41300,NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY,PARIS,AR,72855,LOGAN,N/A,N/A,N/A,N/A,N/A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"34,518"
41302,RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,N/A,N/A,N/A,N/A,N/A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"38,339"
41303,MERCY HOSPITAL TURNER MEMORIAL,801 WEST RIVER STREET,OZARK,AR,72949,FRANKLIN,N/A,N/A,N/A,N/A,N/A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"31,872"
41305,ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY,1341 WEST SIXTH STREET,WALDRON,AR,72958,SCOTT,N/A,N/A,N/A,N/A,N/A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"34,268"
