Zip,Provider Id,Hospital_Name,Address,lat,lng,Expenditures,OP_6,OP_7,SCIP_INF_3,SCIP_CARD_2,SCIP_VTE_2,SCIP_INF_9,PN_6,HF_1,HF_2,IMM_2,Don't recommend,Recommend,Might recommend,Low rating,Medium rating,High rating,Inc. Cat,Inc Cat,Cost category,Efficiency
44710,360084,AULTMAN HOSPITAL,2600 SIXTH STREET SW,,,"$21,269",99,100,100,100,100,100,99,99,100,98,2,80,18,5,18,77,0,medium,medium,0.0047
61614,140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,,,"$17,863",98,95,97,98,97,99,92,97,99,89,6,72,22,8,23,69,1,medium,low,0.0054
83712,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,,,"$19,591",97,98,98,99,98,99,99,95,100,98,2,83,15,5,17,78,2,medium,medium,0.005
32177,100232,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,,,"$17,922",95,97,97,82,91,86,98,83,96,95,10,51,39,12,30,58,0,medium,low,0.0051
79938,670047,SIERRA PROVIDENCE EAST MEDICAL CENTER,3280 JOE BATTLE BLVD,,,"$18,674",100,98,99,92,99,98,100,100,100,99,7,76,17,9,19,72,1,medium,low,0.0053
79936,450877,FOUNDATION SURGICAL HOSPITAL OF EL PASO,1416 GEORGE DIETER,,,"$26,526",98,98,100,88,98,97,N/A,N/A,N/A,100,6,75,19,10,18,72,1,medium,medium,0.0037
99835,20027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,,,"$10,285",N/A,N/A,N/A,N/A,77,N/A,N/A,82,84,67,8,52,40,10,32,58,1,low,low,0.0075
15767,390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,,,"$14,749",82,100,98,87,94,100,89,83,100,94,4,63,33,9,21,70,1,medium,low,0.0063
54241,520034,AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DRIVE,,,"$17,197",97,98,98,100,100,85,100,96,100,95,2,81,17,5,18,77,1,medium,low,0.0056
76104,450137,BAYLOR ALL SAINTS MEDICAL CENTER AT FW,1400 EIGHTH AVE,,,"$20,972",99,99,97,97,99,96,97,99,100,97,4,79,17,6,18,76,0,medium,medium,0.0047
76104,450135,TEXAS HEALTH HARRIS METHODIST FORT WORTH,1301 PENNSYLVANIA AVENUE,,,"$22,225",99,97,99,99,99,100,96,99,99,97,3,80,17,6,18,76,0,medium,medium,0.0044
76104,450672,PLAZA MEDICAL CENTER OF FORT WORTH,900 EIGHTH AVENUE,,,"$23,155",100,100,95,99,98,98,100,98,100,100,6,73,21,9,21,70,0,medium,medium,0.0043
76104,450039,JPS HEALTH NETWORK,1500 S MAIN ST,,,"$21,918",97,100,98,100,99,95,97,97,100,95,4,73,23,8,22,70,0,medium,medium,0.0045
34102,100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,,,"$19,533",99,97,95,98,99,94,99,94,100,94,6,70,24,10,25,65,2,medium,medium,0.005
31082,110086,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,610 SPARTA ROAD,,,"$16,946",N/A,N/A,N/A,N/A,88,N/A,90,78,98,65,10,60,30,11,26,63,0,medium,low,0.0049
44281,360195,SUMMA WADSWORTH-RITTMAN HOSPITAL,195 WADSWORTH ROAD,,,"$18,682",99,97,94,100,100,100,98,100,100,98,7,64,29,11,26,63,1,medium,low,0.0053
84302,460017,BRIGHAM CITY COMMUNITY HOSPITAL,950 SOUTH MEDICAL DRIVE,,,"$17,044",100,100,99,95,99,100,83,N/A,N/A,95,6,67,27,9,24,67,1,medium,low,0.0057
87144,320089,UNM SANDOVAL REGIONAL MEDICAL CENTER,3001 BROADMOOR BLVD NE,,,"$15,512",N/A,N/A,95,76,97,97,89,53,100,73,4,79,17,7,16,77,1,medium,low,0.0055
89434,290032,NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,,,"$17,165",96,100,99,98,99,98,100,89,98,100,5,75,20,7,20,73,1,medium,low,0.0057
95901,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,,,"$16,573",98,97,98,97,95,94,95,90,92,78,17,45,38,23,31,46,1,medium,low,0.0056
30909,110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,,,"$20,084",100,100,100,100,100,100,100,100,100,100,6,72,22,8,21,71,1,medium,medium,0.005
96766,120014,WILCOX MEMORIAL HOSPITAL,3-3420 KUHIO HIGHWAY,,,"$15,517",97,97,98,96,100,100,100,100,100,99,2,79,19,6,19,75,1,medium,low,0.0064
11714,330332,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,,,"$20,346",94,97,100,99,100,100,96,100,99,90,8,60,32,12,29,59,2,medium,medium,0.0048
64063,260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,,,"$17,557",99,99,100,100,100,100,100,99,100,100,5,74,21,6,19,75,1,medium,low,0.0057
95128,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,,,"$17,976",94,96,92,95,98,94,100,99,100,63,9,53,38,10,35,55,1,medium,low,0.0052
95128,50153,O'CONNOR HOSPITAL,2105 FOREST AVENUE,,,"$21,304",90,84,98,98,99,97,99,99,100,94,4,73,23,8,25,67,1,medium,medium,0.0045
95124,50380,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,,,"$20,730",97,95,99,99,99,99,99,99,100,100,6,70,24,10,26,64,2,medium,medium,0.0048
34698,100043,MEASE DUNEDIN HOSPITAL,601 MAIN ST,,,"$19,398",100,100,99,99,99,100,97,97,100,100,5,75,20,6,17,77,1,medium,low,0.0051
34695,100265,MEASE COUNTRYSIDE HOSPITAL,3231 MCMULLEN BOOTH RD,,,"$20,640",99,99,99,98,99,100,97,98,100,99,4,78,18,7,19,74,1,medium,medium,0.0048
67801,170175,WESTERN PLAINS MEDICAL COMPLEX,3001 AVENUE A,,,"$17,199",99,96,93,95,98,98,91,94,100,100,9,54,37,12,29,59,1,medium,low,0.0056
92691,50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,,,"$19,454",95,97,95,98,97,98,96,82,99,96,3,81,16,6,17,77,2,medium,low,0.0049
77521,450424,SAN JACINTO METHODIST HOSPITAL,4401 GARTH ROAD,,,"$20,760",99,96,98,99,99,100,98,100,100,96,3,72,25,6,20,74,1,medium,medium,0.0047
22205,490050,VIRGINIA HOSPITAL CENTER,1701 NORTH GEORGE MASON DRIVE,,,"$20,001",99,99,99,100,100,99,98,96,100,94,2,86,12,3,13,84,3,medium,medium,0.0049
28170,340084,ANSON COMMUNITY HOSPITAL,500 MORVEN ROAD,,,"$15,777",N/A,N/A,N/A,N/A,N/A,N/A,94,83,100,97,6,61,33,12,19,69,0,medium,low,0.0059
35565,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,"$13,011",N/A,N/A,N/A,N/A,N/A,N/A,97,100,97,96,7,59,34,9,26,65,0,low,low,0.0075
61401,140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,,,"$16,669",100,100,100,99,99,99,98,100,99,97,1,84,15,3,20,77,1,medium,low,0.0059
61401,140040,GALESBURG COTTAGE HOSPITAL,695 N KELLOGG ST,,,"$18,126",100,98,96,98,98,99,97,92,100,99,5,66,29,7,23,70,1,medium,low,0.0054
75961,450656,NACOGDOCHES MEDICAL CENTER,4920 NE STALLINGS DRIVE,,,"$19,158",99,99,98,95,98,99,100,98,100,99,3,76,21,6,22,72,0,medium,low,0.0051
75961,450508,MEMORIAL HOSPITAL,1204 MOUND ST,,,"$19,775",95,95,94,93,87,87,88,77,99,90,5,70,25,10,23,67,0,medium,medium,0.0046
94533,50367,NORTHBAY MEDICAL CENTER,1200 B  GALE WILSON BLVD,,,"$19,364",99,99,99,99,97,99,96,98,100,97,7,68,25,10,22,68,1,medium,low,0.0051
32034,100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,,,"$15,495",94,94,87,94,100,83,98,97,100,92,4,78,18,6,19,75,1,medium,low,0.0061
26003,510050,WHEELING HOSPITAL,1 MEDICAL PARK,,,"$19,015",97,99,95,97,98,97,97,100,100,98,3,73,24,7,22,71,1,medium,low,0.0051
26003,510039,OHIO VALLEY MEDICAL CENTER,2000 EOFF STREET,,,"$19,009",96,95,97,97,99,98,98,92,100,96,5,72,23,9,24,67,1,medium,low,0.0051
75039,450822,LAS COLINAS MEDICAL CENTER,6800 N MACARTHUR BLVD,,,"$18,093",100,99,100,98,100,100,100,100,100,100,5,72,23,7,24,69,1,medium,low,0.0055
70605,190201,LAKE AREA MEDICAL CENTER,4200 NELSON ROAD,,,"$15,076",99,99,99,94,100,100,100,100,96,100,4,82,14,6,14,80,1,medium,low,0.0065
70601,190027,CHRISTUS ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,,,"$19,491",99,100,100,100,100,100,96,92,99,92,6,71,23,12,22,66,0,medium,low,0.005
70601,190060,LAKE CHARLES MEMORIAL HOSPITAL,1701 OAK PARK BLVD,,,"$18,947",98,94,97,92,94,93,93,90,99,86,3,76,21,5,22,73,0,medium,low,0.0049
38668,250126,NORTH OAK REGIONAL MEDICAL CENTER,401 GETWELL DR,,,"$13,836",N/A,N/A,89,N/A,97,N/A,88,87,97,83,10,60,30,10,24,66,1,medium,low,0.0065
38663,250010,TIPPAH COUNTY HOSPITAL,1005 CITY AVE NORTH,,,"$16,379",N/A,N/A,N/A,N/A,N/A,N/A,74,N/A,35,83,7,56,37,11,26,63,0,medium,low,0.0039
30474,110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,,,"$15,663",99,100,97,85,99,97,90,94,99,96,6,74,20,6,20,74,0,medium,low,0.0061
31788,110209,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,,,"$13,757",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,medium,low,0
33870,100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,,,"$18,348",100,98,98,100,99,100,97,100,100,100,10,53,37,17,32,51,0,medium,low,0.0054
80538,60119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,,,"$21,969",98,98,94,99,97,90,95,97,100,91,3,83,14,5,13,82,1,medium,medium,0.0044
80538,60030,MCKEE MEDICAL CENTER,2000 BOISE AVE,,,"$18,459",99,98,98,99,98,98,100,100,100,97,3,77,20,5,20,75,1,medium,low,0.0053
77954,450597,CUERO COMMUNITY HOSPITAL,2550 N ESPLANADE,,,"$17,138",N/A,100,N/A,N/A,N/A,N/A,81,100,100,100,3,75,22,5,19,76,1,medium,low,0.0056
39204,250072,CENTRAL MISSISSIPPI MEDICAL CENTER,1850 CHADWICK DR,,,"$20,144",98,99,98,98,97,99,100,88,99,100,9,60,31,11,27,62,0,medium,medium,0.0048
39202,250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,,,"$19,557",100,99,98,98,98,99,95,80,96,89,2,82,16,4,16,80,1,medium,medium,0.0049
35957,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,"$16,590",96,97,100,98,99,99,97,97,90,96,2,74,24,4,20,76,0,medium,low,0.0058
48109,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",,,"$22,097",96,99,98,98,100,99,98,98,100,89,2,83,15,5,18,77,0,medium,medium,0.0044
12601,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,,,"$19,842",98,99,99,100,99,97,99,100,100,100,3,76,21,7,22,71,1,medium,medium,0.005
12601,330067,ST FRANCIS HOSPITAL,241 NORTH ROAD,,,"$19,757",99,97,100,100,100,100,98,100,100,100,9,61,30,12,27,61,1,medium,medium,0.005
43402,360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,,,"$15,798",99,100,97,99,98,98,99,100,100,97,4,73,23,5,18,77,1,medium,low,0.0062
73080,370158,PURCELL MUNICIPAL HOSPITAL,1500 NORTH GREEN AVENUE,,,"$14,036",N/A,N/A,N/A,N/A,N/A,N/A,85,82,92,92,3,75,22,7,21,72,1,medium,low,0.0063
62521,140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,,,"$16,394",99,99,99,96,99,100,91,89,100,92,5,76,19,8,19,73,1,medium,low,0.0059
62526,140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,,,"$18,260",98,100,99,97,99,94,94,100,100,89,4,71,25,7,25,68,1,medium,low,0.0053
80124,60112,SKY RIDGE MEDICAL CENTER,10101 RIDGE GATE PARKWAY,,,"$22,335",100,99,100,100,100,99,99,96,100,100,4,78,18,6,19,75,2,medium,medium,0.0044
80122,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,,,"$20,140",98,97,98,98,99,99,93,94,100,94,4,78,18,6,20,74,2,medium,medium,0.0048
59601,270003,ST PETER'S HOSPITAL,2475 BROADWAY,,,"$15,740",93,91,97,99,99,96,99,88,100,90,4,62,34,9,26,65,1,medium,low,0.006
12801,330191,GLENS FALLS HOSPITAL,100 PARK STREET,,,"$17,216",99,99,97,99,97,95,95,99,99,95,3,65,32,7,27,66,1,medium,low,0.0057
28374,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,,,"$18,155",98,99,99,99,99,98,97,97,100,96,2,86,12,3,14,83,1,medium,low,0.0054
97330,380014,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,,,"$19,029",98,99,98,98,96,98,93,99,99,89,4,70,26,8,27,65,1,medium,low,0.0051
30701,110023,GORDON HOSPITAL,1035 RED BUD ROAD,,,"$16,183",98,97,99,100,100,99,99,97,100,98,3,77,20,6,17,77,1,medium,low,0.0061
90640,50350,BEVERLY HOSPITAL,309 W BEVERLY BLVD,,,"$22,227",94,95,94,89,96,96,96,85,99,90,11,58,31,15,27,58,1,medium,medium,0.0042
78666,450272,CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,,,"$19,187",100,99,100,100,98,100,99,100,100,98,2,74,24,5,23,72,0,medium,low,0.0052
78664,670041,SETON MEDICAL CENTER WILLIAMSON,201 SETON PARKWAY,,,"$20,715",100,99,98,98,99,99,93,100,100,99,3,78,19,7,19,74,1,medium,medium,0.0048
78664,670034,SCOTT & WHITE HOSPITAL-ROUND ROCK,300 UNIVERSITY BLVD,,,"$20,481",96,100,99,98,98,97,94,100,100,87,3,81,16,5,18,77,1,medium,medium,0.0047
27573,340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,,,"$13,891",96,95,100,100,99,100,92,100,97,99,7,58,35,13,25,62,1,medium,low,0.007
27577,340090,JOHNSTON HEALTH,509 BRIGHT LEAF BLVD,,,"$17,164",100,100,98,97,99,100,98,89,100,98,5,69,26,7,21,72,1,medium,low,0.0057
84078,460030,ASHLEY REGIONAL MEDICAL CENTER,150 WEST 100 NORTH,,,"$11,961",98,93,100,58,91,98,84,73,94,91,9,54,37,13,28,59,1,low,low,0.0074
67107,170075,MERCY HOSPITAL,218 E PACK ST,,,"$12,634",N/A,N/A,N/A,N/A,N/A,N/A,83,N/A,92,81,0,94,6,2,4,94,1,low,low,0.0068
29108,420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,2669 KINARD ST PO BOX 497,,,"$17,823",N/A,N/A,98,98,99,100,97,100,100,100,3,71,26,6,19,75,0,medium,low,0.0056
29102,420069,CLARENDON MEMORIAL HOSPITAL,10 HOSPITAL ST BOX 550,,,"$15,544",80,97,91,81,100,92,84,100,92,85,7,62,31,9,19,72,0,medium,low,0.0058
72703,40152,PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,,,"$20,412",100,100,88,N/A,94,N/A,N/A,N/A,N/A,N/A,2,91,7,4,5,91,1,medium,medium,0.0047
72703,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,,,"$19,069",97,99,99,99,97,99,96,98,100,97,3,78,19,6,22,72,1,medium,low,0.0051
55337,240207,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,,,"$17,217",99,100,100,100,99,100,99,97,100,92,4,72,24,8,21,71,1,medium,low,0.0057
66762,170006,VIA CHRISTI HOSPITAL PITTSBURG INC,1 MT CARMEL WAY,,,"$16,371",98,98,98,98,97,96,97,86,100,99,3,65,32,6,24,70,0,medium,low,0.0059
24701,510071,BLUEFIELD REGIONAL MEDICAL CENTER,500 CHERRY ST,,,"$18,520",99,100,99,100,100,98,98,93,100,99,8,62,30,12,26,62,0,medium,low,0.0053
73077,370139,PERRY MEMORIAL HOSPITAL,501 FOURTEENTH STREET,,,"$12,623",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,88,4,74,22,5,18,77,0,low,low,0.0068
73075,370156,PAULS VALLEY GENERAL HOSPITAL,100 VALLEY DRIVE,,,"$11,781",N/A,N/A,N/A,N/A,N/A,N/A,81,100,71,75,14,49,37,15,24,61,1,low,low,0.0069
31909,110200,NORTHSIDE MEDICAL CENTER,100 FRIST COURT,,,"$27,033",99,100,99,100,100,99,N/A,N/A,N/A,99,1,93,6,2,7,91,1,high,medium,0.0037
31901,110064,MIDTOWN MEDICAL CENTER,710 CENTER ST BOX 951,,,"$21,633",100,100,98,99,100,98,94,99,100,99,8,64,28,14,25,61,0,medium,medium,0.0046
31901,110186,DOCTORS SPECIALTY HOSPITAL,616 19TH STREET,,,"$18,001",100,100,100,95,100,100,93,85,100,96,5,79,16,7,20,73,0,medium,low,0.0054
51104,160146,ST LUKES REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,,,"$17,690",91,99,98,98,100,83,97,94,99,91,2,75,23,6,25,69,1,medium,low,0.0054
51101,160153,MERCY MEDICAL CENTER-SIOUX CITY,801 5TH ST,,,"$19,936",94,99,98,100,99,98,94,99,100,99,5,70,25,7,23,70,0,medium,medium,0.0049
76531,450754,HAMILTON GENERAL HOSPITAL,400 N BROWN,,,"$14,580",N/A,N/A,N/A,N/A,N/A,N/A,93,100,99,85,3,83,14,4,10,86,1,medium,low,0.0065
36301,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,,,"$19,234",100,100,98,99,98,94,97,96,100,94,5,77,18,8,20,72,1,medium,low,0.0051
36305,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,"$18,832",100,100,100,100,100,100,100,97,100,100,3,80,17,6,17,77,1,medium,low,0.0053
77488,450214,GULF COAST MEDICAL CENTER,10141 US 59 NORTH,,,"$20,270",N/A,N/A,N/A,N/A,57,N/A,81,N/A,71,90,10,60,30,12,30,58,0,medium,medium,0.0037
37160,440137,HERITAGE MEDICAL CENTER,2835 HWY 231 N,,,"$15,638",88,100,100,N/A,100,100,93,100,100,100,8,62,30,10,22,68,0,medium,low,0.0063
37166,440148,STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP,520 W MAIN ST,,,"$16,178",N/A,N/A,95,100,100,100,99,93,100,99,5,70,25,8,22,70,0,medium,low,0.0061
37167,440227,TRISTAR STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,,,"$19,327",100,100,96,97,98,96,100,97,100,97,6,73,21,8,19,73,1,medium,low,0.0051
38363,440070,DECATUR COUNTY GENERAL HOSPITAL,969 TENNESSEE AVE S,,,"$15,425",N/A,N/A,N/A,N/A,N/A,N/A,94,N/A,81,98,3,67,30,3,26,71,0,medium,low,0.0059
47025,150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,,,"$18,186",73,100,90,98,99,97,93,93,99,98,2,64,34,5,26,69,1,medium,low,0.0052
97132,380037,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,,,"$15,269",92,98,100,97,99,99,93,100,100,80,2,80,18,5,19,76,1,medium,low,0.0063
63044,260104,SSM DEPAUL HEALTH CENTER,12303 DEPAUL DRIVE,,,"$21,364",97,100,99,98,99,96,100,98,100,100,3,76,21,6,17,77,1,medium,medium,0.0046
92243,50045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,,"$17,663",69,93,94,80,94,58,82,100,95,81,9,57,34,15,27,58,1,medium,low,0.0048
61032,140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,,,"$15,703",98,98,100,99,100,99,100,98,99,97,4,60,36,6,29,65,1,medium,low,0.0063
65201,260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,,,"$20,513",100,99,98,97,100,98,99,100,100,99,1,85,14,4,12,84,0,medium,medium,0.0048
93111,50357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,,,"$19,319",89,86,98,93,99,100,88,N/A,100,96,3,86,11,4,18,78,2,medium,low,0.0049
98122,500027,SWEDISH MEDICAL CENTER,747 BROADWAY,,,"$19,374",100,96,99,100,99,100,98,92,100,91,3,78,19,5,23,72,1,medium,low,0.005
98122,500025,SWEDISH MEDICAL CENTER / CHERRY HILL,500 17TH AVENUE,,,"$24,843",99,100,100,100,100,100,100,100,100,94,2,78,20,6,21,73,1,medium,medium,0.004
66044,170137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,,,"$18,158",99,99,100,100,100,100,99,100,100,96,4,76,20,5,19,76,0,medium,low,0.0055
66048,170133,SAINT LUKE'S CUSHING HOSPITAL,711 MARSHALL STREET,,,"$13,053",100,100,100,100,98,100,91,N/A,100,94,5,73,22,7,19,74,1,low,low,0.0075
66048,170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,,,"$14,369",N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,99,5,69,26,7,24,69,1,medium,low,0.0069
32720,100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,,,"$18,749",97,97,100,100,100,100,100,98,100,100,7,63,30,10,26,64,1,medium,low,0.0053
70115,190046,TOURO INFIRMARY,1401 FOUCHER STREET,,,"$20,423",99,99,97,96,99,98,98,87,100,97,5,71,24,10,19,71,1,medium,medium,0.0047
70112,190005,CHARITY HOSPITAL & MEDICAL CENTER OF LOUISIANA AT,2021 PERDIDO ST,,,"$18,728",78,97,98,90,98,97,94,99,99,72,10,62,28,15,26,59,0,medium,low,0.0049
70112,190176,TULANE MEDICAL CENTER,1415 TULANE AVE,,,"$20,887",99,99,97,100,100,100,95,95,100,99,7,68,25,9,23,68,0,medium,medium,0.0047
36116,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,"$21,601",99,98,96,97,96,94,95,98,100,95,7,73,20,9,22,69,1,medium,medium,0.0045
36117,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,"$16,963",99,100,98,100,100,98,96,99,100,96,3,81,16,5,17,78,1,medium,low,0.0058
33541,100046,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,,,"$18,915",99,99,99,98,100,99,100,99,100,99,6,67,27,8,26,66,1,medium,low,0.0052
33544,100319,FLORIDA HOSPITAL WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,,,"$17,961",98,100,100,100,99,100,99,100,100,99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,medium,low,0.0055
37643,440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,,,"$17,794",89,97,96,95,100,98,99,95,100,99,4,77,19,6,14,80,0,medium,low,0.0054
11795,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,,,"$20,249",99,99,99,99,99,99,100,100,100,86,8,61,31,12,31,57,2,medium,medium,0.0048
11794,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,,,"$20,057",96,92,99,98,100,99,95,85,100,93,4,75,21,8,23,69,1,medium,medium,0.0048
53097,520027,COLUMBIA ST MARYS HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,,,"$17,892",91,96,99,100,98,99,94,100,100,94,3,75,22,6,23,71,2,medium,low,0.0054
53095,520063,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,3200 PLEASANT VALLEY ROAD,,,"$17,018",99,98,99,99,100,100,99,93,100,86,5,68,27,7,22,71,1,medium,low,0.0057
65775,260078,OZARKS MEDICAL CENTER,1100 KENTUCKY AVE,,,"$16,173",98,91,92,98,95,92,93,93,98,97,4,66,30,8,28,64,1,medium,low,0.0059
28462,340158,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,1 MEDICAL CENTER DR  PO BOX 139,,,"$14,980",100,100,99,100,100,99,99,100,100,99,5,74,21,7,22,71,1,medium,low,0.0066
91436,50158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,,,"$23,381",N/A,N/A,N/A,N/A,100,100,100,100,100,99,15,65,20,16,23,61,3,medium,medium,0.0043
91204,50058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,,,"$20,831",95,89,98,99,98,97,91,90,99,90,7,66,27,11,25,64,1,medium,medium,0.0045
67880,170110,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,415 N MAIN STREET,,,"$9,349",N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,56,5,57,38,7,38,55,1,low,low,0.0079
91206,50239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,,,"$21,268",96,95,98,98,99,98,96,96,100,96,4,70,26,6,27,67,1,medium,medium,0.0046
33705,100067,ST ANTHONYS HOSPITAL,1200 SEVENTH AVE N,,,"$19,860",98,97,98,98,98,98,98,93,99,97,5,77,18,9,19,72,1,medium,medium,0.0049
33707,100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE S,,,"$20,747",100,92,99,100,100,98,100,100,99,100,7,68,25,10,22,68,1,medium,medium,0.0048
33709,100238,NORTHSIDE HOSPITAL,6000 49TH ST N,,,"$21,064",100,100,99,100,99,99,100,100,100,100,10,63,27,12,26,62,1,medium,medium,0.0047
76028,450677,HUGULEY MEMORIAL MEDICAL CENTER,11801 SOUTH FREEWAY,,,"$22,513",98,98,97,100,99,97,99,96,100,93,6,70,24,9,22,69,1,medium,medium,0.0043
76022,450639,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,1600 HOSPITAL PARKWAY,,,"$20,628",100,99,99,100,98,99,98,99,99,100,3,79,18,4,19,77,1,medium,medium,0.0048
76020,450419,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,,,"$17,151",N/A,N/A,100,N/A,97,90,99,100,100,100,4,68,28,7,22,71,1,medium,low,0.0057
39530,250007,BILOXI REGIONAL MEDICAL CENTER,150 REYNOIR STREET,,,"$16,814",99,98,100,99,100,100,99,100,100,100,12,57,31,16,28,56,0,medium,low,0.0059
68510,280020,CHI HEALTH ST ELIZABETH,555 SOUTH 70TH ST,,,"$20,163",99,99,100,99,99,98,94,91,100,94,2,80,18,5,18,77,1,medium,medium,0.0048
47274,150065,SCHNECK MEDICAL CENTER,411 W TIPTON ST,,,"$17,835",100,97,100,99,100,100,97,100,100,99,2,76,22,6,19,75,1,medium,low,0.0056
73542,370051,MEMORIAL HOSPITAL & PHYSICIAN GROUP,319 EAST JOSEPHINE,,,"$12,082",N/A,N/A,N/A,N/A,N/A,N/A,43,92,53,84,5,62,33,5,24,71,0,low,low,0.0056
